id_cliente,fecha_hora,nombre,email,telefono,ciudad,tipo_cliente,sucursal_preferida
C-C516021348,2026-09-11 17:51:40,Camila Herrera,camila.herrera.61@obelie.mx,3310632729,Zapopan,nuevo,Plaza Obelie
C-E79F78A276,2026-09-11 17:51:41,Daniela Pineda,daniela.pineda.19@obelie.mx,3330841720,Guadalajara,nuevo,Sur
C-AD0DA2B170,2026-09-11 17:51:41,Daniela Pineda,daniela.pineda.31@obelie.mx,3364936050,Tonalá,frecuente,Sur
C-CC72957C02,2026-09-11 17:51:42,Ricardo Flores,ricardo.flores.19@obelie.mx,3375446681,Tlaquepaque,mayoreo,Sur
C-F01349C23D,2026-09-11 17:51:43,Valeria Ortiz,valeria.ortiz.99@obelie.mx,3372978559,Zapopan,mayoreo,Plaza Obelie
C-1391DE69A2,2026-09-11 17:51:43,Elena Vargas,elena.vargas.18@obelie.mx,3334902409,Tonalá,evento,Sur
C-5BE9B9218E,2026-09-11 17:51:44,Sofia Ramirez,sofia.ramirez.92@obelie.mx,3399286972,Tonalá,evento,Centro
C-21AF1D370B,2026-09-11 17:51:45,Daniela Pineda,daniela.pineda.82@obelie.mx,3366534333,Tlaquepaque,mayoreo,Plaza Obelie
C-C6F9DC5EF7,2026-09-11 17:51:46,Paola Nunez,paola.nunez.99@obelie.mx,3311968802,Tlajomulco,evento,Norte
C-3B55321BF7,2026-09-11 17:51:47,Jorge Castillo,jorge.castillo.58@obelie.mx,3356184133,Tlajomulco,mayoreo,Sur
C-7314D3BFA1,2026-09-11 17:51:47,Mateo Aguilar,mateo.aguilar.23@obelie.mx,3344579500,Guadalajara,frecuente,Norte
C-45C06B4AF7,2026-09-11 17:51:48,Elena Vargas,elena.vargas.64@obelie.mx,3362539645,Tonalá,frecuente,Norte
C-9295465105,2026-09-11 17:51:49,Daniela Pineda,daniela.pineda.41@obelie.mx,3357614636,Tlajomulco,evento,Norte
C-0705761065,2026-09-11 17:51:49,Paola Nunez,paola.nunez.12@obelie.mx,3374327290,Zapopan,frecuente,Sur
C-3070BDDF8A,2026-09-11 17:51:50,Fernando Diaz,fernando.diaz.22@obelie.mx,3342432706,Tlajomulco,frecuente,Sur
C-B8E203151C,2026-09-11 17:51:51,Sofia Ramirez,sofia.ramirez.11@obelie.mx,3343865829,Tlajomulco,evento,Norte
C-5B5107CED3,2026-09-11 17:51:51,Ricardo Flores,ricardo.flores.12@obelie.mx,3350725549,Zapopan,evento,Sur
C-058B62B75C,2026-09-11 17:51:52,Andres Molina,andres.molina.67@obelie.mx,3353082388,Tlaquepaque,frecuente,Sur
C-62779A225C,2026-09-11 17:51:52,Fernando Diaz,fernando.diaz.21@obelie.mx,3361398953,Tlajomulco,nuevo,Centro
C-0E23C451E7,2026-09-11 17:51:53,Sofia Ramirez,sofia.ramirez.26@obelie.mx,3332745296,Tlaquepaque,frecuente,Plaza Obelie
C-63AF8CBA64,2026-09-11 17:51:54,Ricardo Flores,ricardo.flores.56@obelie.mx,3334548911,Tonalá,nuevo,Sur
C-9A5F5DB303,2026-09-11 17:51:54,Andres Molina,andres.molina.20@obelie.mx,3396926265,Zapopan,evento,Centro
C-3DC5AB74D8,2026-09-11 17:51:55,Andres Molina,andres.molina.31@obelie.mx,3332623284,Tonalá,nuevo,Sur
C-EAE4BC3E7F,2026-09-11 17:51:56,Jorge Castillo,jorge.castillo.94@obelie.mx,3381038906,Tlaquepaque,nuevo,Norte
C-709E3F6D6D,2026-09-11 17:51:56,Paola Nunez,paola.nunez.54@obelie.mx,3385064637,Guadalajara,evento,Centro
C-152EA7F368,2026-09-11 17:51:57,Ricardo Flores,ricardo.flores.61@obelie.mx,3332042907,Tlaquepaque,frecuente,Plaza Obelie
C-D7D181041E,2026-09-11 17:51:58,Ricardo Flores,ricardo.flores.63@obelie.mx,3389138091,Zapopan,nuevo,Plaza Obelie
C-89AF8E500E,2026-09-11 17:51:58,Valeria Ortiz,valeria.ortiz.14@obelie.mx,3352842782,Guadalajara,evento,Norte
C-75A8C08AC7,2026-09-11 17:51:59,Hugo Salazar,hugo.salazar.52@obelie.mx,3333272816,Tlajomulco,frecuente,Plaza Obelie
C-4BA5D77979,2026-09-11 17:51:59,Daniela Pineda,daniela.pineda.53@obelie.mx,3347611260,Tlajomulco,evento,Centro
C-8500FC2DE4,2026-09-11 17:52:00,Jorge Castillo,jorge.castillo.92@obelie.mx,3399558997,Guadalajara,mayoreo,Norte
C-EA767D78FB,2026-09-11 17:52:00,Ricardo Flores,ricardo.flores.29@obelie.mx,3352083033,Tlaquepaque,frecuente,Centro
C-34A6B45AF8,2026-09-11 17:52:01,Andres Molina,andres.molina.67@obelie.mx,3371748358,Tonalá,mayoreo,Sur
C-AC55B09B09,2026-09-11 17:52:01,Fernando Diaz,fernando.diaz.88@obelie.mx,3356738698,Tlaquepaque,frecuente,Plaza Obelie
C-87AF303C5C,2026-09-11 17:52:02,Hugo Salazar,hugo.salazar.79@obelie.mx,3368729402,Zapopan,evento,Plaza Obelie
C-2D75442239,2026-09-11 17:52:02,Mateo Aguilar,mateo.aguilar.79@obelie.mx,3381389776,Tlaquepaque,evento,Plaza Obelie
C-0EBB896A3A,2026-09-11 17:52:03,Camila Herrera,camila.herrera.65@obelie.mx,3364679855,Tlajomulco,nuevo,Centro
C-2EB2AB408F,2026-09-11 17:52:03,Ricardo Flores,ricardo.flores.47@obelie.mx,3333692364,Tlaquepaque,nuevo,Sur
C-0037A69EC3,2026-09-11 17:52:04,Sofia Ramirez,sofia.ramirez.21@obelie.mx,3352433298,Tonalá,mayoreo,Centro
C-D9E23D56CA,2026-09-11 17:52:04,Hugo Salazar,hugo.salazar.41@obelie.mx,3363478130,Tlajomulco,frecuente,Centro
C-08E2443D3E,2026-09-11 17:52:05,Ricardo Flores,ricardo.flores.34@obelie.mx,3330437953,Tonalá,mayoreo,Plaza Obelie
C-F6ACBCB09E,2026-09-11 17:52:05,Ricardo Flores,ricardo.flores.39@obelie.mx,3374281844,Tlajomulco,frecuente,Plaza Obelie
C-C49C687B32,2026-09-11 17:52:06,Fernando Diaz,fernando.diaz.16@obelie.mx,3362432101,Tlaquepaque,mayoreo,Centro
C-71FC7EA835,2026-09-11 17:52:07,Mateo Aguilar,mateo.aguilar.22@obelie.mx,3355197471,Tlajomulco,evento,Sur
C-9BBCB6AEAE,2026-09-11 17:52:07,Andres Molina,andres.molina.77@obelie.mx,3343762583,Zapopan,mayoreo,Norte
C-F5D01546BF,2026-09-11 17:52:08,Ricardo Flores,ricardo.flores.64@obelie.mx,3365808276,Guadalajara,mayoreo,Plaza Obelie
C-DBFEB43E2A,2026-09-11 17:52:09,Elena Vargas,elena.vargas.41@obelie.mx,3376839487,Guadalajara,evento,Sur
C-159A3D2628,2026-09-11 17:52:09,Sofia Ramirez,sofia.ramirez.12@obelie.mx,3398619687,Guadalajara,evento,Norte
C-0B623D9BA6,2026-09-11 17:52:10,Hugo Salazar,hugo.salazar.23@obelie.mx,3327827500,Tlajomulco,mayoreo,Norte
C-B4FA750CD5,2026-09-11 17:52:11,Fernando Diaz,fernando.diaz.17@obelie.mx,3373029814,Tlaquepaque,mayoreo,Centro
C-DF590EDBBA,2026-09-11 17:52:11,Camila Herrera,camila.herrera.31@obelie.mx,3396247124,Tlaquepaque,nuevo,Sur
C-2EF1AD9E2D,2026-09-11 17:52:12,Fernando Diaz,fernando.diaz.55@obelie.mx,3387653139,Tlajomulco,frecuente,Norte
C-AD1E89D9FE,2026-09-11 17:52:13,Jorge Castillo,jorge.castillo.41@obelie.mx,3342007021,Guadalajara,evento,Centro
C-92C19728B5,2026-09-11 17:52:13,Mateo Aguilar,mateo.aguilar.89@obelie.mx,3386266267,Tlajomulco,frecuente,Norte
C-3FE743063D,2026-09-11 17:52:14,Andres Molina,andres.molina.21@obelie.mx,3366843729,Zapopan,nuevo,Norte
C-FC9456AFB7,2026-09-11 17:52:15,Hugo Salazar,hugo.salazar.16@obelie.mx,3364833873,Tonalá,mayoreo,Plaza Obelie
C-D8C37663B9,2026-09-11 17:52:16,Paola Nunez,paola.nunez.78@obelie.mx,3360026094,Tlaquepaque,frecuente,Plaza Obelie
C-96B6375AD6,2026-09-11 17:52:16,Jorge Castillo,jorge.castillo.71@obelie.mx,3364597950,Tlajomulco,frecuente,Centro
C-C4D486026A,2026-09-11 17:52:17,Hugo Salazar,hugo.salazar.66@obelie.mx,3390822104,Tonalá,frecuente,Sur
C-52259FFD13,2026-09-11 17:52:18,Sofia Ramirez,sofia.ramirez.13@obelie.mx,3374037953,Tonalá,nuevo,Centro
C-A6B7371376,2026-09-11 17:52:18,Hugo Salazar,hugo.salazar.69@obelie.mx,3314929802,Tlajomulco,mayoreo,Norte
C-3605EDCD89,2026-09-11 17:52:19,Hugo Salazar,hugo.salazar.14@obelie.mx,3386546395,Zapopan,mayoreo,Sur
C-4EC719FCDF,2026-09-11 17:52:19,Elena Vargas,elena.vargas.23@obelie.mx,3329719880,Tlajomulco,evento,Centro
C-5155448D2A,2026-09-11 17:52:20,Fernando Diaz,fernando.diaz.45@obelie.mx,3396533558,Tlajomulco,frecuente,Norte
C-87004E6FCE,2026-09-11 17:52:21,Elena Vargas,elena.vargas.96@obelie.mx,3369239240,Tonalá,mayoreo,Norte
C-3B1917D88D,2026-09-11 17:52:21,Valeria Ortiz,valeria.ortiz.79@obelie.mx,3377235558,Zapopan,frecuente,Sur
C-C8535BE53C,2026-09-11 17:52:22,Valeria Ortiz,valeria.ortiz.24@obelie.mx,3373774974,Zapopan,nuevo,Plaza Obelie
C-DC3A14AA72,2026-09-11 17:52:23,Sofia Ramirez,sofia.ramirez.75@obelie.mx,3378184935,Tonalá,frecuente,Sur
C-97DB78C7AD,2026-09-11 17:52:24,Elena Vargas,elena.vargas.49@obelie.mx,3330325258,Tlajomulco,evento,Plaza Obelie
C-7B489B97EB,2026-09-11 17:52:24,Jorge Castillo,jorge.castillo.95@obelie.mx,3346585228,Guadalajara,evento,Norte
C-AE58C48DC1,2026-09-11 17:52:25,Daniela Pineda,daniela.pineda.54@obelie.mx,3394493054,Tlajomulco,mayoreo,Centro
C-ADC9CFBF01,2026-09-11 17:52:26,Sofia Ramirez,sofia.ramirez.91@obelie.mx,3398523897,Tlaquepaque,mayoreo,Centro
C-B4880F1322,2026-09-11 17:52:26,Elena Vargas,elena.vargas.81@obelie.mx,3368677645,Tlajomulco,nuevo,Norte
C-43065389AA,2026-09-11 17:52:27,Ricardo Flores,ricardo.flores.43@obelie.mx,3381632148,Tlaquepaque,evento,Sur
C-C3810130A2,2026-09-11 17:52:28,Mateo Aguilar,mateo.aguilar.94@obelie.mx,3333949095,Tonalá,mayoreo,Sur
C-FC74A0A3D0,2026-09-11 17:52:29,Elena Vargas,elena.vargas.72@obelie.mx,3316229231,Zapopan,nuevo,Norte
C-DC2EE7C12E,2026-09-11 17:52:29,Ricardo Flores,ricardo.flores.53@obelie.mx,3370907265,Zapopan,mayoreo,Centro
C-7FBD9D7DB3,2026-09-11 17:52:30,Ricardo Flores,ricardo.flores.95@obelie.mx,3356105836,Zapopan,nuevo,Centro
C-21BDE597D4,2026-09-11 17:52:30,Mateo Aguilar,mateo.aguilar.17@obelie.mx,3364633664,Zapopan,nuevo,Plaza Obelie
C-6DCF5B07E5,2026-09-11 17:52:31,Andres Molina,andres.molina.75@obelie.mx,3323479863,Guadalajara,frecuente,Centro
C-14568DDD0A,2026-09-11 17:52:32,Mateo Aguilar,mateo.aguilar.70@obelie.mx,3373025715,Tonalá,mayoreo,Sur
C-27749ACC5B,2026-09-11 17:52:33,Ricardo Flores,ricardo.flores.70@obelie.mx,3357339596,Tlaquepaque,frecuente,Sur
C-5A455F899A,2026-09-11 17:52:33,Camila Herrera,camila.herrera.57@obelie.mx,3383585359,Zapopan,evento,Plaza Obelie
C-365434DA26,2026-09-11 17:52:34,Ricardo Flores,ricardo.flores.90@obelie.mx,3381332704,Tonalá,nuevo,Norte
C-54B0B97483,2026-09-11 17:52:35,Hugo Salazar,hugo.salazar.26@obelie.mx,3398278009,Tlaquepaque,evento,Centro
C-C3B42BC766,2026-09-11 17:52:36,Hugo Salazar,hugo.salazar.54@obelie.mx,3368462314,Zapopan,evento,Centro
C-2C80A67790,2026-09-11 17:52:36,Andres Molina,andres.molina.84@obelie.mx,3311842806,Tlajomulco,nuevo,Norte
C-71D62E8E51,2026-09-11 17:52:37,Jorge Castillo,jorge.castillo.93@obelie.mx,3363083485,Tlajomulco,frecuente,Centro
C-CE2C25082C,2026-09-11 17:52:38,Ricardo Flores,ricardo.flores.48@obelie.mx,3385273673,Tlajomulco,mayoreo,Plaza Obelie
C-E82B624DE3,2026-09-11 17:52:38,Andres Molina,andres.molina.52@obelie.mx,3319822071,Tlajomulco,nuevo,Plaza Obelie
C-CBEFC76003,2026-09-11 17:52:39,Elena Vargas,elena.vargas.20@obelie.mx,3388356430,Tonalá,frecuente,Centro
C-9172C6EC33,2026-09-11 17:52:40,Ricardo Flores,ricardo.flores.64@obelie.mx,3379307831,Tlajomulco,mayoreo,Plaza Obelie
C-25C39FA663,2026-09-11 17:52:40,Daniela Pineda,daniela.pineda.86@obelie.mx,3327393940,Tlaquepaque,nuevo,Centro
C-A61225FAB1,2026-09-11 17:52:41,Sofia Ramirez,sofia.ramirez.74@obelie.mx,3377812889,Guadalajara,evento,Norte
C-C0C644B28A,2026-09-11 17:52:42,Paola Nunez,paola.nunez.56@obelie.mx,3365805765,Tlaquepaque,frecuente,Centro
C-360FDE8724,2026-09-11 17:52:43,Valeria Ortiz,valeria.ortiz.55@obelie.mx,3330178839,Tonalá,evento,Sur
C-4E5F25BEA0,2026-09-11 17:52:43,Paola Nunez,paola.nunez.77@obelie.mx,3376179880,Tonalá,nuevo,Sur
C-CFF3CE6041,2026-09-11 17:52:44,Jorge Castillo,jorge.castillo.54@obelie.mx,3334518338,Tlajomulco,evento,Centro
C-F0DA3FE981,2026-09-11 17:52:45,Valeria Ortiz,valeria.ortiz.19@obelie.mx,3327784038,Tonalá,frecuente,Norte
C-D94D9F6EAD,2026-09-11 17:52:45,Camila Herrera,camila.herrera.89@obelie.mx,3330072068,Guadalajara,mayoreo,Centro
C-DA9D64DC6C,2026-09-11 17:52:46,Jorge Castillo,jorge.castillo.16@obelie.mx,3371881531,Tlaquepaque,evento,Plaza Obelie
C-C5C44564D1,2026-09-11 17:52:47,Fernando Diaz,fernando.diaz.71@obelie.mx,3353641452,Guadalajara,nuevo,Norte
C-D3A5494E22,2026-09-11 17:52:47,Andres Molina,andres.molina.64@obelie.mx,3326673569,Zapopan,mayoreo,Sur
C-EE29771713,2026-09-11 17:52:48,Hugo Salazar,hugo.salazar.81@obelie.mx,3345793264,Tlajomulco,mayoreo,Norte
C-D3704649EA,2026-09-11 17:52:49,Sofia Ramirez,sofia.ramirez.52@obelie.mx,3349934798,Zapopan,nuevo,Sur
C-8840054DDF,2026-09-11 17:52:49,Daniela Pineda,daniela.pineda.39@obelie.mx,3369697705,Guadalajara,evento,Centro
C-7FC2B70AD5,2026-09-11 17:52:50,Ricardo Flores,ricardo.flores.38@obelie.mx,3354011516,Tlajomulco,mayoreo,Centro
C-CE8FB8CA3A,2026-09-11 17:52:51,Sofia Ramirez,sofia.ramirez.93@obelie.mx,3383847992,Guadalajara,evento,Plaza Obelie
C-E2B18C42F1,2026-09-11 17:52:52,Fernando Diaz,fernando.diaz.70@obelie.mx,3314215347,Tlaquepaque,evento,Norte
C-AC2E103D13,2026-09-11 17:52:52,Fernando Diaz,fernando.diaz.25@obelie.mx,3359654786,Tlajomulco,mayoreo,Centro
C-2B5106C73B,2026-09-11 17:52:53,Hugo Salazar,hugo.salazar.21@obelie.mx,3357571699,Tlajomulco,nuevo,Sur
C-E08B62D559,2026-09-11 17:52:54,Elena Vargas,elena.vargas.25@obelie.mx,3351023252,Tlajomulco,frecuente,Sur
C-B1A15C7362,2026-09-11 17:52:55,Paola Nunez,paola.nunez.21@obelie.mx,3338709265,Tonalá,frecuente,Sur
C-9CC9F006AC,2026-09-11 17:52:55,Elena Vargas,elena.vargas.54@obelie.mx,3391659635,Guadalajara,nuevo,Centro
C-94C6271A41,2026-09-11 17:52:56,Elena Vargas,elena.vargas.54@obelie.mx,3388148113,Zapopan,evento,Sur
C-63A951843A,2026-09-11 17:52:56,Andres Molina,andres.molina.69@obelie.mx,3373202434,Guadalajara,mayoreo,Sur
C-97E7640568,2026-09-11 17:52:57,Mateo Aguilar,mateo.aguilar.36@obelie.mx,3324621105,Tlaquepaque,frecuente,Plaza Obelie
C-C031066976,2026-09-11 17:52:57,Andres Molina,andres.molina.74@obelie.mx,3396803801,Zapopan,frecuente,Centro
C-15C1B43B94,2026-09-11 17:52:58,Fernando Diaz,fernando.diaz.95@obelie.mx,3323419439,Zapopan,nuevo,Norte
C-B73DABD88E,2026-09-11 17:52:59,Elena Vargas,elena.vargas.48@obelie.mx,3331153246,Tlajomulco,frecuente,Sur
C-C1A369A987,2026-09-11 17:53:00,Daniela Pineda,daniela.pineda.98@obelie.mx,3377354553,Tonalá,evento,Centro
C-7345F374BE,2026-09-11 17:53:01,Daniela Pineda,daniela.pineda.16@obelie.mx,3328025204,Tonalá,frecuente,Sur
C-FC2AE1593B,2026-09-11 17:53:01,Andres Molina,andres.molina.65@obelie.mx,3372276322,Tonalá,mayoreo,Norte
C-389B5D4E55,2026-09-11 17:53:02,Ricardo Flores,ricardo.flores.38@obelie.mx,3392799065,Tlajomulco,nuevo,Centro
C-44444D2F16,2026-09-11 17:53:03,Mateo Aguilar,mateo.aguilar.87@obelie.mx,3395631755,Zapopan,nuevo,Plaza Obelie
C-BCF00027BE,2026-09-11 17:53:03,Andres Molina,andres.molina.34@obelie.mx,3349015640,Zapopan,nuevo,Plaza Obelie
C-1F2CE7137D,2026-09-11 17:53:04,Valeria Ortiz,valeria.ortiz.59@obelie.mx,3383564013,Tlajomulco,evento,Norte
C-4B0A49E5E1,2026-09-11 17:53:04,Jorge Castillo,jorge.castillo.87@obelie.mx,3357368604,Tlajomulco,frecuente,Norte
C-3A45D54256,2026-09-11 17:53:05,Camila Herrera,camila.herrera.63@obelie.mx,3344264240,Tonalá,frecuente,Norte
C-5604F17392,2026-09-11 17:53:06,Paola Nunez,paola.nunez.19@obelie.mx,3340394917,Tonalá,frecuente,Norte
C-139190A53F,2026-09-11 17:53:07,Mateo Aguilar,mateo.aguilar.70@obelie.mx,3323608645,Zapopan,nuevo,Centro
C-080D73DA29,2026-09-11 17:53:07,Ricardo Flores,ricardo.flores.57@obelie.mx,3382931191,Tlajomulco,evento,Norte
C-9BD17CEF54,2026-09-11 17:53:07,Jorge Castillo,jorge.castillo.55@obelie.mx,3385039863,Guadalajara,frecuente,Plaza Obelie
C-03F111C0FE,2026-09-11 17:53:08,Hugo Salazar,hugo.salazar.78@obelie.mx,3359796788,Zapopan,mayoreo,Norte
C-C5D0513D4C,2026-09-11 17:53:08,Sofia Ramirez,sofia.ramirez.12@obelie.mx,3369621331,Tlajomulco,evento,Plaza Obelie
C-B170333D72,2026-09-11 17:53:08,Ricardo Flores,ricardo.flores.73@obelie.mx,3376285526,Tlaquepaque,mayoreo,Plaza Obelie
C-E1378EE547,2026-09-11 17:53:09,Fernando Diaz,fernando.diaz.72@obelie.mx,3377128104,Tlajomulco,mayoreo,Norte
C-6EA17C80DA,2026-09-11 17:53:09,Camila Herrera,camila.herrera.26@obelie.mx,3320077651,Tlaquepaque,nuevo,Sur
C-EAFAEE2CFF,2026-09-11 17:53:10,Daniela Pineda,daniela.pineda.48@obelie.mx,3396516752,Tlajomulco,nuevo,Plaza Obelie
C-FDE9BEF1D5,2026-09-11 17:53:10,Daniela Pineda,daniela.pineda.66@obelie.mx,3339684314,Zapopan,frecuente,Plaza Obelie
C-D953F03B0A,2026-09-11 17:53:10,Ricardo Flores,ricardo.flores.49@obelie.mx,3347426035,Guadalajara,nuevo,Plaza Obelie
C-2E0D46E61A,2026-09-11 17:53:10,Camila Herrera,camila.herrera.81@obelie.mx,3387853942,Tonalá,nuevo,Centro
C-7B12AE32A9,2026-09-11 17:53:11,Jorge Castillo,jorge.castillo.13@obelie.mx,3355109867,Guadalajara,frecuente,Centro
C-4101751D79,2026-09-11 17:53:11,Elena Vargas,elena.vargas.71@obelie.mx,3328208926,Tlajomulco,evento,Sur
C-FED01E8558,2026-09-11 17:53:11,Ricardo Flores,ricardo.flores.91@obelie.mx,3364944556,Zapopan,mayoreo,Plaza Obelie
C-522AD8F81D,2026-09-11 17:53:12,Elena Vargas,elena.vargas.53@obelie.mx,3338746769,Tonalá,frecuente,Sur
C-E03F69A4C3,2026-09-11 17:53:12,Jorge Castillo,jorge.castillo.72@obelie.mx,3310217300,Zapopan,evento,Plaza Obelie
C-0D233ECF8E,2026-09-11 17:53:12,Ricardo Flores,ricardo.flores.73@obelie.mx,3317085374,Zapopan,nuevo,Norte
C-2CADD02191,2026-09-11 17:53:13,Mateo Aguilar,mateo.aguilar.27@obelie.mx,3370624744,Tlaquepaque,frecuente,Centro
C-396BED4897,2026-09-11 17:53:13,Daniela Pineda,daniela.pineda.67@obelie.mx,3382575770,Tlajomulco,mayoreo,Centro
C-6449C6952A,2026-09-11 17:53:13,Sofia Ramirez,sofia.ramirez.60@obelie.mx,3392531844,Zapopan,evento,Sur
